id,g1q00001,g1q00001_other,g1q00002,g1q00003,g1q00004,g1q00004_other,g1q00005,g1q00006_sq002,g1q00006_sq003,g1q00006_sq004,g1q00006_sq005,g2q00001_sq001,g2q00001_sq002,g2q00002,g2q00003_sq001,g2q00003_sq002,g2q00004_sq002,g2q00004_sq003,g2q00004_sq004,g2q00004_sq005,g2q00004_sq006,g2q00004_sq007,g2q00004_sq008,g2q00004_sq009,g2q00004_sq010,g2q00004_sq011,g2q00004_sq012,g2q00004_sq013,g2q00004_sq014,g2q00004_other,g2q00005,g2q00007,g2q00006,g2q00008,g3q00001,g3q00002_sq001,g3q00002_sq002,g3q00002_sq003,g3q00002_sq004,g3q00002_other,g3q00003,g3q00004,g3q00005_sq001,g3q00005_sq002,g3q00005_sq003,g3q00005_sq004,g3q00005_other,g3q00006,g3q00007,g3q00007_other,g3q00008_sq001,g3q00008_sq002,g3q00008_sq003,g3q00009_sq001,g3q00009_sq002,g3q00009_sq003,g3q00009_sq004,g3q00009_sq005,g3q00009_sq006,g3q00009_sq007,g4q00001_sq001,g4q00001_sq002,g4q00001_sq003,g4q00001_sq004,g4q00002,g4q00003_sq001,g4q00003_sq002,g4q00004_sq001,g4q00004_sq002,g4q00004_sq003,g4q00005_sq001,g4q00005_sq002,g4q00005_sq003,g4q00006_sq001,g4q00006_sq002,g4q00006_sq003,g4q00008_sq001,g4q00008_sq002,g4q00008_sq003,g4q00007_sq001,g4q00007_sq002,g4q00007_sq003,g4q00009,age_group,ati_group,user_group
53,Male,"",82,Deutschland,Lehre / Fachschule,"",Rentner,3,3,4,3,Rather disagree,Neutral,Sometimes,Neutral,Neutral,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,"",I wouldn�t know how to do it,Die Häufigkeit.,"weiß nicht
",keine Mengenüberflutung mehr,Ja,Ja,Ja,Ja,Nein,"",Ja,Ja,Nein,Ja,Ja,Nein,,"",One per week,"",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Important,Neutral,Important,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,keine,> 60,middle,user
54,Female,"",55,Deutschland,Lehre / Fachschule,"",Büro ,2,3,3,4,Neutral,Neutral,Sometimes,Rather agree,Neutral,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",No,Vgfjj,Gbjygh,Fhjxxhb,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",More than 5 per day,"",Rather agree,Neutral,Rather agree,Important,Important,Important,Important,Important,Neutral,Important,Neutral,Rather agree,Neutral,Neutral,,Neutral,Neutral,Rather agree,Rather agree,Neutral,Neutral,Neutral,Neutral,Rather disagree,Rather agree,Rather agree,Neutral,Neutral,Rather agree,Neutral,Neutral,Neutral,Vyghj,25 - 60,low,non-user
56,Female,"",49,Deutschland,Lehre / Fachschule,"",Hausfrau,3,3,3,2,Strongly agree,Strongly disagree,Sometimes,Rather agree,Rather agree,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,"",I am not aware of the option,Werbung,"Wetter, Infos zu Sport, Messaging",es dürfen nicht zuviele sein,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per day,"",Strongly agree,Neutral,Neutral,Neutral,Unimportant,Very important,Neutral,Important,Important,Important,Strongly agree,Rather agree,Rather agree,Rather agree,,Strongly agree,Neutral,Strongly agree,Rather disagree,Strongly agree,Neutral,Rather agree,Neutral,Strongly agree,Rather disagree,Rather agree,Strongly agree,Rather disagree,Strongly agree,Strongly agree,Rather disagree,Rather agree,keine,25 - 60,low,non-user
57,Male,"",77,Deutschland,Lehre / Fachschule,"",Rentner,4,4,4,4,Rather disagree,Strongly agree,Never,Rather disagree,Rather disagree,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,"",I am not aware of the option,Unterbrechung meiner eigentlichen Tätigkeit,Wenig,?,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Rather agree,Rather agree,Rather agree,Very unimportant,Very unimportant,Very unimportant,Unimportant,Unimportant,Unimportant,Unimportant,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Rather agree,Rather agree,Rather agree,Neutral,Neutral,Rather disagree,Rather agree,Rather disagree,Rather agree,Rather disagree,Rather disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Keine,> 60,middle,non-user
58,Male,"",75,Deutschland,Lehre / Fachschule,"",Versicherungskaufmann ,5,4,3,2,Rather disagree,Rather agree,Sometimes,Rather disagree,Rather disagree,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,"",I am not aware of the option,"","","",Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Strongly agree,Strongly agree,Strongly agree,Very unimportant,Very unimportant,Important,Very unimportant,Neutral,Very unimportant,Very unimportant,Rather agree,Rather agree,Rather agree,Rather agree,,Strongly agree,Strongly agree,Neutral,Neutral,Rather agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Rather disagree,Neutral,Neutral,Rather agree,Rather agree,Rather disagree,Rather agree,Keine ,> 60,middle,non-user
59,Male,"",22,Deutschland,Abitur / Matura,"",Student,4,4,4,4,Rather disagree,Rather agree,Sometimes,Rather agree,Rather agree,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,"",Yes,Auftippen bei anderen Tätigkeiten,Schneller Wecjsel auf andere Apps,Kleiner,Ja,Ja,Nein,Nein,Nein,"",Nein,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Strongly agree,Rather agree,Neutral,Important,Very unimportant,Very unimportant,Neutral,Important,Neutral,Important,Neutral,Neutral,Strongly disagree,Rather disagree,,Neutral,Strongly agree,Rather agree,Neutral,Rather agree,Rather disagree,Strongly agree,Neutral,Rather agree,Rather disagree,Strongly agree,Rather agree,Rather disagree,Strongly agree,Neutral,Neutral,Rather agree,Aufpoppzeit,< 25,middle,user
60,Female,"",33,Deutschland,Master,"",Teamleitung Pflegedienst ,4,4,2,3,Neutral,Rather disagree,Sometimes,Rather disagree,Neutral,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,Teilweise unnötige Infos ,Wenn sie meinen Interessen entsprechen ,Filter ,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Neutral,Rather agree,Rather disagree,Neutral,Important,Important,Important,Neutral,Unimportant,Unimportant,Neutral,Rather agree,Rather agree,Neutral,,Strongly agree,Strongly agree,Neutral,Rather agree,Neutral,Neutral,Rather agree,Rather agree,Neutral,Rather agree,Neutral,Neutral,Rather agree,Neutral,Rather agree,Rather agree,Rather agree,Keine ,25 - 60,middle,non-user
61,Female,"",20,Deutschland,Abitur / Matura,"",Studentin,3,5,5,5,Neutral,Rather agree,Sometimes,Rather disagree,Rather disagree,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,"",No,"","","",Ja,Ja,Ja,Nein,Nein,"",Ja,Ja,Ja,Ja,Nein,Nein,,"",One per day,"",Rather agree,Rather agree,Rather disagree,Neutral,Unimportant,Unimportant,Important,Important,Important,Important,Strongly agree,Rather agree,Strongly agree,Rather agree,,Strongly disagree,Rather agree,Rather disagree,Rather agree,Rather agree,Neutral,Rather disagree,Rather agree,Neutral,Neutral,Neutral,Rather agree,Rather agree,Rather agree,Rather disagree,Rather disagree,Rather agree,weiß ich nicht ,< 25,high,user
62,Female,"",17,Deutschland,Abitur / Matura,"",schülerin,4,4,3,3,Rather disagree,Rather agree,Sometimes,Rather disagree,Strongly disagree,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,so oft und immer dasselbe,Nachrichten z.b whatsapp,weniger nachrichten insgesamt,Ja,Ja,Nein,Nein,Nein,"",Nein,N/A,N/A,N/A,N/A,N/A,,"",One per week,"",Rather agree,Rather agree,Strongly disagree,Very important,Neutral,Unimportant,Neutral,Important,Important,Important,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Rather disagree,Rather agree,Rather agree,Neutral,Rather agree,Rather disagree,Rather agree,Rather disagree,Strongly agree,Rather disagree,Strongly agree,Rather agree,Rather disagree,Rather agree,Strongly agree,Rather disagree,Strongly agree,Keine konkrete Idee,< 25,middle,user
64,Male,"",68,Deutschland,Lehre / Fachschule,"",Rentner ,4,1,3,3,Rather disagree,Neutral,Never,Rather agree,Rather agree,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,"",No,Während dem Telefonat ,Notfallnachrichten,Hinweis auf Abruf von Nachrichten ,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Neutral,Neutral,Rather agree,Unimportant,Very unimportant,Unimportant,Unimportant,Important,Very unimportant,Neutral,Rather agree,Rather agree,Rather agree,Rather agree,,Rather agree,Rather disagree,Rather agree,Rather disagree,Rather agree,Rather agree,Rather agree,Rather agree,Strongly agree,Strongly disagree,Rather agree,Rather agree,Strongly disagree,Rather agree,Neutral,Rather agree,Rather disagree,Keine,> 60,low,non-user
65,Male,"",20,Deutschland,Abitur / Matura,"",Student,5,6,1,2,Strongly agree,Strongly disagree,Often,Strongly agree,Strongly agree,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,nichts,nichts,nichts,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per week,"",Rather agree,Rather agree,Rather agree,Important,Neutral,Neutral,Very important,Important,Important,Very important,Neutral,Rather agree,Rather agree,Strongly agree,,Rather agree,Rather agree,Strongly agree,Neutral,Rather agree,Rather agree,Neutral,Strongly agree,Rather agree,Strongly agree,Rather agree,Rather agree,Strongly agree,Rather agree,Rather agree,Strongly agree,Rather agree,nichts,< 25,middle,non-user
66,Male,"",22,Deutschland,Lehre / Fachschule,"",Elektroniker,5,5,4,5,Rather agree,Rather agree,Often,Rather disagree,Neutral,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,Z viel,Schnelle Info,Weniger,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per day,"",Strongly agree,Rather agree,Neutral,Very important,Unimportant,Important,Neutral,Very important,Important,Very important,Strongly agree,Strongly agree,Strongly agree,Rather agree,,Rather disagree,Neutral,Rather agree,Rather disagree,Rather agree,Rather agree,Rather disagree,Rather disagree,Strongly agree,Rather disagree,Rather agree,Rather agree,Rather disagree,Rather disagree,Neutral,Rather disagree,Rather disagree,D,< 25,high,non-user
67,Female,"",69,Deutschland,Lehre / Fachschule,"",Rente ,3,3,3,3,Rather agree,Rather disagree,Sometimes,Rather agree,Rather agree,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",No,Weiß nicht ,Weiß nicht ,Weiß nicht ,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Strongly agree,Neutral,Neutral,Unimportant,Unimportant,Neutral,Neutral,Neutral,Unimportant,Neutral,Rather agree,Neutral,Rather agree,Rather agree,,Neutral,Neutral,Rather agree,Rather disagree,Neutral,Neutral,Neutral,Rather disagree,Rather agree,Rather disagree,Neutral,Rather agree,Rather disagree,Neutral,Neutral,Neutral,Rather disagree,Keine ,> 60,low,non-user
68,Female,"",22,Deutschland,Abitur / Matura,"",Kauffrau für Marketingkommunikation,4,4,4,2,Rather agree,Rather disagree,Sometimes,Rather disagree,Rather disagree,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",No,"Rabattaktionen, zu häufiges anzeigen","Erinnerungen, neue Nachrichten",Nützliche Betreffzeilen,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per day,"",Strongly agree,Rather agree,Neutral,Important,Unimportant,Important,Important,Very important,Important,Very important,Strongly agree,Rather agree,Strongly agree,Strongly agree,,Strongly agree,Rather agree,Strongly agree,Rather disagree,Strongly agree,Strongly agree,Rather agree,Neutral,Strongly agree,Rather disagree,Strongly agree,Rather agree,Rather disagree,Rather agree,Neutral,Rather agree,Strongly disagree,Option B,< 25,middle,non-user
69,Female,"",22,Deutschland,Lehre / Fachschule,"",Rechtsanwaltsfachangestellte ,3,3,2,2,Strongly agree,Rather disagree,Often,Neutral,Rather agree,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,"",Yes,Vielen Nachrichten auf einmal; wenn der Ton an ist ,"Man sieht sofort, sobald man eine Nachricht erhalten hat und / oder es Neuigkeiten gibt","Eigentlich nichts, entweder man mag die Funktion und lässt sie an oder man mag sie eben nicht und schaltet sie aus. ",Ja,Nein,Ja,Nein,Nein,"",Nein,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Rather agree,Rather agree,Strongly disagree,Unimportant,Very unimportant,Neutral,Neutral,Neutral,Unimportant,Neutral,Rather agree,Neutral,Rather agree,Rather agree,,Rather agree,Rather agree,Rather agree,Rather agree,Rather disagree,Rather agree,Rather agree,Neutral,Rather agree,Rather agree,Neutral,Rather agree,Rather agree,Neutral,Rather agree,Rather agree,Neutral,Keine. ,< 25,low,user
71,Female,"",20,Deutschland,Abitur / Matura,"",Student,2,3,2,3,Rather agree,Neutral,Sometimes,Neutral,Neutral,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Ja,"",I wouldn�t know how to do it,dass es so oft so unwichtige Sachen sind,"dass ich sofort sehe, wenn etwas passiert","personalisieren, welche Arten von Benachrichtigungen oben angezeigt werden",Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per day,"",Rather agree,Rather agree,Neutral,Neutral,Neutral,Important,Important,Important,Very important,Important,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Rather agree,Rather agree,Strongly agree,Rather disagree,Strongly agree,Neutral,Rather agree,Neutral,Strongly agree,Rather disagree,Strongly agree,Strongly agree,Rather disagree,Rather agree,Rather agree,Neutral,Rather agree,mir fallen keine weiteren mehr ein,< 25,low,non-user
72,Female,"",22,Deutschland,Abitur / Matura,"",Studentin,1,1,2,2,Rather agree,Rather disagree,Sometimes,Rather agree,Neutral,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,—,—,—,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per week,"",Neutral,Rather agree,Neutral,Neutral,Important,Neutral,Neutral,Neutral,Important,Unimportant,Neutral,Strongly disagree,Rather agree,Strongly agree,,Neutral,Neutral,Rather disagree,Neutral,Rather agree,Rather agree,Strongly agree,Neutral,Rather disagree,Rather agree,Neutral,Rather disagree,Neutral,Rather agree,Neutral,Neutral,Neutral,—,< 25,low,non-user
75,Female,"",19,Deutschland,Abitur / Matura,"",Studentin,4,3,3,3,Rather disagree,Strongly agree,Sometimes,Rather agree,Strongly agree,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,Die Benachrichtigungsleiste ist schnell unübersichtlich/voll wenn man alle Push Benachrichtigungen zulässt. Häufig sind die Benachrichtigung auch inhaltslos,"Wenn ich eine Nachricht erhalte, lese ich diese häufig vorab über die Push Leiste",Man müsste vorher bei jeder App ausdrücklich zustimmen dass diese Benachrichtigungen senden dürfen,Ja,Ja,Ja,Ja,Nein,"",Nein,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Rather agree,Strongly agree,Strongly disagree,Neutral,Unimportant,Very important,Important,Important,Important,Very important,Rather agree,Neutral,Strongly agree,Strongly agree,,Rather disagree,Strongly agree,Rather agree,Rather agree,Neutral,Strongly agree,Rather disagree,Rather agree,Rather agree,Rather disagree,Rather agree,Neutral,Strongly agree,Rather disagree,Neutral,Strongly agree,Rather disagree,/,< 25,middle,user
76,Male,"",72,Deutschland,Lehre / Fachschule,"",Rentner,4,3,3,3,Neutral,Neutral,Sometimes,Neutral,Neutral,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,"",Yes,Zu häufige Benachrichtigungen,neue Informationen,Die Menge der Benachrichtungen,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per week,"",Rather agree,Rather agree,Rather agree,Unimportant,Unimportant,Unimportant,Important,Important,Unimportant,Neutral,Rather agree,Rather agree,Rather agree,Rather agree,,Neutral,Neutral,Rather agree,Rather agree,Rather agree,Rather agree,Rather agree,Rather agree,Rather disagree,Rather disagree,Rather disagree,Rather disagree,Rather disagree,Rather disagree,Rather disagree,Rather disagree,Rather disagree,Keine,> 60,middle,non-user
77,Male,"",32,Deutschland,Lehre / Fachschule,"",staatlich anerkannter Erzieher,3,4,3,2,Neutral,Rather disagree,Sometimes,Rather disagree,Neutral,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,"",Yes,"","","",Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per week,"",Rather agree,Strongly agree,Rather agree,Neutral,Neutral,Important,Unimportant,Important,Neutral,Very important,Rather agree,Rather agree,Rather agree,Strongly agree,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Rather agree,Rather agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Keine,25 - 60,low,non-user
78,Male,"",64,Deutschland,Bachelor,"",Beamter,6,6,6,6,Neutral,Rather agree,Sometimes,Strongly agree,Strongly agree,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,nicht auf mich zugeschnittene,Warnungen,nichts,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per day,"",Rather agree,Rather agree,Rather disagree,Very unimportant,Very unimportant,Very important,Neutral,Important,Very unimportant,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Rather agree,Rather disagree,Rather agree,Neutral,Neutral,Rather agree,Rather disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Rather agree,Rather disagree,Neutral,Rather agree,Rather disagree,Rather disagree,keine,> 60,high,non-user
79,Male,"",21,Deutschland,Abitur / Matura,"",Lokführer,4,4,3,4,Rather agree,Rather agree,Sometimes,Rather agree,Rather agree,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,"",Yes,unnötige Push-Nachrichten wie z.B. Werbung o.ä.,"Hinweise auf neue Nachrichten (z.B. WhatsApp), Hinweise bei Störungen oder Gefahren",-,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per day,"",Rather disagree,Strongly agree,Rather disagree,Very unimportant,Very unimportant,Important,Unimportant,Important,Neutral,Important,Neutral,Rather disagree,Rather agree,Strongly agree,,Rather agree,Strongly agree,Rather disagree,Rather agree,Rather disagree,Rather disagree,Rather agree,Rather disagree,Strongly agree,Rather disagree,Rather agree,Neutral,Rather agree,Rather disagree,Rather agree,Neutral,Rather agree,-,< 25,middle,non-user
80,Female,"",39,Deutschland,Master,"",Studienrätin (RS),2,2,3,3,Neutral,Neutral,Sometimes,Rather disagree,Rather disagree,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,Keine,Kurze Info ,Stören mich nicht ,Ja,Ja,Nein,Nein,Nein,"",Nein,N/A,N/A,N/A,N/A,N/A,,"",One per week,"",Neutral,Rather disagree,Rather disagree,Neutral,Important,Important,Neutral,Unimportant,Neutral,Important,Strongly agree,Strongly agree,Rather agree,Strongly agree,,Strongly disagree,Strongly agree,Neutral,Rather agree,Rather agree,Rather agree,Rather disagree,Rather agree,Strongly agree,Rather disagree,Strongly agree,Strongly agree,Rather disagree,Strongly agree,Strongly agree,Rather disagree,Strongly agree,E,25 - 60,low,user
81,Female,"",20,Deutschland,Abitur / Matura,"",Student,5,5,4,3,Rather disagree,Rather agree,Sometimes,Strongly agree,Neutral,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,Zu viele und teilweise für mich nicht interessante Informationen ,"Messasing Dienste, bekomme Info wer mir geschrieben hat",Differenzierte Benachrichtigungen,Ja,Ja,Nein,Nein,Nein,"",Nein,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Rather agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Unimportant,Neutral,Important,Important,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Rather agree,Strongly agree,Rather agree,Rather agree,Strongly agree,Rather disagree,Rather agree,Strongly agree,Rather disagree,Rather agree,Strongly agree,Rather disagree,Rather agree,Keine,< 25,high,user
83,Female,"",66,Deutschland,Lehre / Fachschule,"",Rentner ,3,4,1,2,Rather disagree,Rather agree,Sometimes,Rather agree,Strongly agree,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,"",Yes,Ist oft einfach nur lästig ,Gesundheit und Tipps zum Geld sparen ,Nur die für mich interessant en Sachen senden ,Ja,Ja,Nein,Ja,Ja,"",Ja,Ja,Ja,Nein,Ja,Nein,,"",One per week,"",Rather disagree,Rather disagree,Rather disagree,Very important,Very unimportant,Neutral,Important,Neutral,Important,Neutral,Rather agree,Rather disagree,Neutral,Rather agree,,Rather agree,Strongly disagree,Rather agree,Strongly disagree,Rather agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Keine ,> 60,low,user
84,Male,"",21,Deutschland,Lehre / Fachschule,"",Fach Lagerist,3,4,4,3,Neutral,Neutral,Sometimes,Rather disagree,Neutral,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",I am not aware of the option,Weiß nicht ,Weiß nicht ,Weiß nicht ,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",2-5 per day,"",Neutral,Neutral,Neutral,Neutral,Neutral,Important,Unimportant,Important,Neutral,Unimportant,Neutral,Rather agree,Neutral,Rather disagree,,Rather disagree,Neutral,Neutral,Rather agree,Rather disagree,Neutral,Neutral,Strongly disagree,Rather agree,Rather agree,Neutral,Rather disagree,Rather disagree,Neutral,Rather disagree,Rather agree,Rather disagree,Weiß nicht ,< 25,middle,non-user
85,Female,"",23,Deutschland,Master,"",Ja,6,6,1,1,Strongly agree,Rather disagree,Always,Strongly agree,Strongly agree,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,"",Yes,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,"",Ja,Ja,Ja,Ja,Nein,Ja,,"",Less than one per week,"",Rather agree,Strongly agree,Strongly agree,Important,Very unimportant,Very important,Very important,Very important,Very important,Very important,Rather agree,Rather agree,Strongly agree,Rather agree,,Rather agree,Rather agree,Rather agree,Strongly agree,Strongly agree,Strongly agree,Rather agree,Rather agree,Strongly agree,Strongly agree,Rather agree,Strongly agree,Strongly agree,Rather agree,Rather agree,Rather agree,Rather agree,Ja,< 25,middle,user
87,Male,"",20,Deutschland,Abitur / Matura,"",Dualer Studenten Informatik,6,4,2,3,Rather disagree,Rather agree,Never,Rather disagree,Rather disagree,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,"",Yes,"","","",Ja,Nein,Ja,Nein,Nein,"",Nein,N/A,N/A,N/A,N/A,N/A,,"",One per week,"",Rather agree,Strongly agree,Rather disagree,Neutral,Neutral,Unimportant,Neutral,Important,Neutral,Neutral,Strongly agree,Rather agree,Strongly agree,Strongly agree,,Rather agree,Rather agree,Strongly agree,Strongly agree,Rather disagree,Rather disagree,Strongly agree,Rather disagree,Strongly agree,Strongly agree,Rather agree,Rather agree,Strongly agree,Strongly disagree,Rather disagree,Strongly agree,Strongly agree,Der App die Berechtigung nehmen zu können Nachrichten zu schicken ,< 25,middle,user
88,Female,"",19,Deutschland,Abitur / Matura,"",Student ,5,5,4,5,Rather agree,Strongly disagree,Sometimes,Rather agree,Rather agree,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,"","","",Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per day,"",Strongly agree,Rather agree,Strongly disagree,Important,Neutral,Unimportant,Unimportant,Important,Important,Neutral,Rather agree,Rather disagree,Strongly agree,Strongly agree,,Neutral,Rather agree,Rather agree,Rather disagree,Rather agree,Neutral,Neutral,Rather disagree,Strongly agree,Strongly disagree,Rather agree,Rather agree,Neutral,Rather disagree,Neutral,Rather agree,Strongly disagree, ,< 25,high,non-user
89,Male,"",22,Deutschland,Abitur / Matura,"",Studium ,5,5,2,2,Neutral,Rather agree,Sometimes,Strongly agree,Rather disagree,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,"",Yes,Den Zwang noch häufiger auf das Handy zu schauen ,Kurze Information direkt zu bekommen ,Nicht jede App sollte Benachrichtigungen haben ,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Strongly agree,Strongly agree,Rather disagree,Unimportant,Very unimportant,Neutral,Very unimportant,Unimportant,Very unimportant,Neutral,Strongly agree,Strongly agree,Rather agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Rather agree,Rather agree,Neutral,Strongly agree,Neutral,Rather agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Keine weiteren ,< 25,middle,non-user
92,Male,"",19,Deutschland,Abitur / Matura,"",Student,4,4,3,2,Strongly agree,Neutral,Often,Rather disagree,Neutral,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,K.A.,K.A.,K.A.,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per day,"",Rather disagree,Rather agree,Neutral,Unimportant,Important,Unimportant,Neutral,Very important,Very unimportant,Neutral,Rather agree,Rather disagree,Neutral,Strongly agree,,Rather agree,Neutral,Neutral,Strongly agree,Rather disagree,Rather disagree,Rather disagree,Neutral,Neutral,Rather agree,Rather agree,Neutral,Rather agree,Neutral,Rather disagree,Rather agree,Neutral,K.A.,< 25,middle,non-user
